Sexe;Industries extractives;Industries alimentaires / fabrication de boissons;Fabrication de produits à base de tabac;Industries du textile et de l'habillement;Industries du bois et du papier / imprimerie;Cokéfaction / industrie chimique;Industrie pharmaceutique;Industries du caoutchouc et du plastique;Métallurgie / fabrication produits métalliques;Fabrication de produit informatiques, électroniques et optiques / horlogerie;Fabrication d'équipements électriques;Fabrication de machines et équipements n.c.a;Fabrication de matériels de transport;Fabrication de meubles / autres industries manufacturières / réparation et installation de machines et d'équipements;Production et distribution d'énergie;Production et distribution d'eau / gestion déchets;Construction;Secteur 3: services;Commerce de gros / commerce et réparation d'automobiles;Commerce de détail;Transport terrestres, par eau, aériens / entreposage;Activités de poste et de courrier;Hébergement et restauration;Édition, audiovisuel et diffusion;Télécommunications;Activité informatiques et services d'information;Services financiers / activités auxiliaires de services financiers et d'assurance;Assurance;Activités immobilières;Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie;Recherche-développement scientifique;Autres activités spécialisées, scientifiques et techniques;Activités de services administratifs ;Activités liées à l'emploi;Administration publique, défense / sécurité sociale;Enseignement;Santé humaine et action sociale;Arts, spectacles et activités récréatives;Activitées des organisations associatives et religieuses / réparation de biens personnels;Autres services personnels
Homme;6198;5680;10208;5810;6104;7875;10366;6173;6148;7716;7157;7064;6861;6376;8362;6225;6129;7191;6667;5403;6427;5926;4482;8150;9638;9314;10833;10400;7510;8493;9309;7515;5673;5622;8620;9240;7179;6560;7767;4951
Femme;6220;4685;X;4595;5416;6624;9161;5156;5199;5478;5122;5792;6118;5286;7322;6071;5977;6093;6225;4605;5963;5810;4241;6920;7136;7424;7510;7140;6204;6860;8080;6051;4800;4993;7298;8359;6201;5853;6855;3930
