;Région lémanique;Espace Mittelland;Nordwestschweiz;Zürich;Ostschweiz;Zentralschweiz;Ticino
Homme;6682;6677;6934;7325;6343;6663;5705
Femme;6189;5879;6014;6124;5385;5812;5101
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
